rxn_id,kind,pred_score,ensemble,n_int
CD2abcpp,down,0.6567620410105964,0.6567620410105964,1
PG141abcpp,down,0.6567453920620121,0.6567453920620121,1
HACD8,oe,0.656718378168201,0.656718378168201,1
PLIPA2G161pp,down,0.6566952553455492,0.6566952553455492,1
CBIAT,down,0.6566870988425376,0.6566870988425376,1
ACt2rpp,oe,0.6566666666666666,0.6566666666666666,1
HACD6,down,0.6566666666666666,0.6566666666666666,1
ACOAD2f,oe,0.6566666666666666,0.6566666666666666,1
PMPK,down,0.6566666666666666,0.6566666666666666,1
UAMAGS,oe,0.6566666666666666,0.6566666666666666,1
PItex,down,0.6566666666666666,0.6566666666666666,1
USHD,oe,0.6566666666666666,0.6566666666666666,1
EAR120y,ko,0.6566619061519008,0.6566619061519008,1
LDH_D,down,0.6566126770643503,0.6566126770643503,1
PROt2rpp,ko,0.6565954924718715,0.6565954924718715,1
INSt2pp_copy2,down,0.6565002354231951,0.6565002354231951,1
XTSNt2rpp,down,0.6565002354231951,0.6565002354231951,1
PA180abcpp,down,0.6564633814208316,0.6564633814208316,1
PA120abcpp,down,0.6564619328204304,0.6564619328204304,1
CLPNH180pp,ko,0.6564525567222615,0.6564525567222615,1
DTMPtex,down,0.6563561667916974,0.6563561667916974,1
LPLIPAL2G160,ko,0.6563392882489424,0.6563392882489424,1
LPLIPAL2E161,ko,0.6563392882489424,0.6563392882489424,1
LPLIPAL2E160,ko,0.6563392882489424,0.6563392882489424,1
MDDEP2pp,oe,0.6563007697824622,0.6563007697824622,1
PA120abcpp,ko,0.6562742781483141,0.6562742781483141,1
MCITS,down,0.6562177433150295,0.6562177433150295,1
ALAALAabcpp,down,0.6562020486296162,0.6562020486296162,1
DSERt2pp,down,0.6561740497451677,0.6561740497451677,1
DXYLK,down,0.6561663561207168,0.6561663561207168,1
NADPPPS,ko,0.6561599224948492,0.6561599224948492,1
GDPMNH,down,0.6561413802965342,0.6561413802965342,1
ACt4pp,down,0.6560603878672236,0.6560603878672236,1
TTDCEAtexi,down,0.6560271095395256,0.6560271095395256,1
HEXt2rpp,down,0.6559853091559961,0.6559853091559961,1
ADOCBLS,ko,0.6559745886963075,0.6559745886963075,1
GLCATr,oe,0.6559079088528597,0.6559079088528597,1
SUCCt3pp,oe,0.6559046416700751,0.6559046416700751,1
PACCOAE,down,0.655881000317496,0.655881000317496,1
AAMYLpp,down,0.6558478557631674,0.6558478557631674,1
ACACCT,oe,0.6558434279297861,0.6558434279297861,1
TRPt2rpp,down,0.6558307981529754,0.6558307981529754,1
AMMQLT8,oe,0.6557630011538027,0.6557630011538027,1
THRt2pp,down,0.655758766275681,0.655758766275681,1
GLYCTO3,ko,0.6557470228225643,0.6557470228225643,1
MSAR,down,0.6556397611553751,0.6556397611553751,1
RBK_L1,ko,0.6555765671220541,0.6555765671220541,1
PLIPA2G160pp,down,0.6555534242688715,0.6555534242688715,1
EAR100x,oe,0.6554903506743887,0.6554903506743887,1
ALLabcpp,ko,0.6554701951692511,0.6554701951692511,1
OROTt2_2pp,down,0.6553949524749797,0.6553949524749797,1
MALTHXtexi,down,0.6553857711357474,0.6553857711357474,1
14GLUCANtexi,down,0.6553857711357474,0.6553857711357474,1
TDPGDH,ko,0.6553691302616101,0.6553691302616101,1
GALt2pp,oe,0.6553615566116243,0.6553615566116243,1
HEPT2,oe,0.6553594301642994,0.6553594301642994,1
PGPP140,ko,0.6553590049250468,0.6553590049250468,1
RBP4E,down,0.6553236341792608,0.6553236341792608,1
AGM3PApp,ko,0.6552727919952156,0.6552727919952156,1
FACOAL180t2pp,ko,0.6552520548953533,0.6552520548953533,1
FACOAL181t2pp,ko,0.6552520548953533,0.6552520548953533,1
SSALx,oe,0.655157481766711,0.655157481766711,1
MAN6Pt6_2pp,down,0.6550477718263581,0.6550477718263581,1
FORt2pp,ko,0.6550092302900682,0.6550092302900682,1
ILEabcpp,down,0.6549665190754596,0.6549665190754596,1
KAS15,down,0.6549417889751907,0.6549417889751907,1
GMHEPAT,oe,0.6549343808036706,0.6549343808036706,1
PAPA140pp,ko,0.6548663658687133,0.6548663658687133,1
TRE6PP,oe,0.654829043102058,0.654829043102058,1
AGM4Pt2pp,ko,0.6548191362846365,0.6548191362846365,1
NAMNPP,ko,0.6547878263583823,0.6547878263583823,1
SERt2rpp,ko,0.6547647580189363,0.6547647580189363,1
NDPK7,oe,0.6547053142180365,0.6547053142180365,1
HEX4,ko,0.6547039580534993,0.6547039580534993,1
SERD_L,ko,0.6546964259805779,0.6546964259805779,1
FE2abcpp,ko,0.6546930600893878,0.6546930600893878,1
PSSA180,ko,0.6546911089652904,0.6546911089652904,1
